,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType
76,far_right,Home,right,3.0,6.0,9.0,21208596,right,1.0,2.834000000000003,friz,far,abs
77,near_right,Home,right,3.0,7.0,11.0,21208596,right,1.0,0.6829999999999927,friz,near,abs
78,far_left,Left,right,3.0,8.0,4.0,21208596,right,1.0,0.9019999999999868,friz,far,rel
79,far_left,Away,right,3.0,9.0,12.0,21208596,right,1.0,1.0170000000000528,friz,far,abs
80,near_right,Away,left,3.0,10.0,15.0,21208596,left,1.0,0.9669999999999844,friz,near,abs
81,far_right,Left,right,3.0,11.0,5.0,21208596,right,1.0,1.6159999999999854,friz,far,rel
82,far_left,Home,left,3.0,12.0,8.0,21208596,left,1.0,0.75,friz,far,abs
83,near_left,Away,right,3.0,13.0,14.0,21208596,right,1.0,0.8170000000000073,friz,near,abs
84,far_left,Right,left,3.0,14.0,0.0,21208596,left,1.0,0.9169999999999732,friz,far,rel
85,near_left,Left,left,3.0,15.0,6.0,21208596,left,1.0,1.2839999999999918,friz,near,rel
22,near_left,Left,left,0.0,0.0,6.0,2189950,left,1.0,1.0670000000000073,friz,near,rel
23,far_left,Away,right,0.0,1.0,12.0,2189950,right,1.0,1.0049999999999957,friz,far,abs
24,far_right,Left,right,0.0,2.0,5.0,2189950,right,1.0,0.9989999999999952,friz,far,rel
25,far_right,Right,left,0.0,3.0,1.0,2189950,left,1.0,0.9320000000000164,friz,far,rel
26,far_right,Home,right,0.0,4.0,9.0,2189950,right,1.0,0.7340000000000089,friz,far,abs
27,far_left,Right,left,0.0,5.0,0.0,2189950,left,1.0,1.2340000000000089,friz,far,rel
28,near_left,Home,left,0.0,6.0,10.0,2189950,left,1.0,0.983000000000004,friz,near,abs
29,near_left,Away,right,0.0,7.0,14.0,2189950,right,1.0,0.6659999999999968,friz,near,abs
30,near_right,Home,right,0.0,8.0,11.0,2189950,right,1.0,1.0360000000000014,friz,near,abs
31,near_right,Away,left,0.0,9.0,15.0,2189950,left,1.0,1.1670000000000016,friz,near,abs
32,far_right,Away,left,0.0,10.0,13.0,2189950,left,1.0,0.681999999999988,friz,far,abs
33,near_right,Right,right,0.0,11.0,3.0,2189950,right,1.0,1.768000000000001,friz,near,rel
34,far_left,Left,right,0.0,12.0,4.0,2189950,right,1.0,1.1000000000000227,friz,far,rel
35,near_left,Right,right,0.0,13.0,2.0,2189950,right,1.0,1.051000000000016,friz,near,rel
36,near_right,Left,left,0.0,14.0,7.0,2189950,left,1.0,0.8010000000000161,friz,near,rel
37,far_left,Home,left,0.0,15.0,8.0,2189950,left,1.0,0.6340000000000146,friz,far,abs
38,near_left,Away,right,1.0,0.0,14.0,2189950,right,1.0,0.8509999999999991,friz,near,abs
39,near_left,Right,right,1.0,1.0,2.0,2189950,right,1.0,0.6980000000000075,friz,near,rel
40,near_right,Right,right,1.0,2.0,3.0,2189950,right,1.0,0.948999999999984,friz,near,rel
41,near_left,Left,left,1.0,3.0,6.0,2189950,left,1.0,0.8010000000000161,friz,near,rel
42,far_right,Left,right,1.0,4.0,5.0,2189950,right,1.0,0.7319999999999993,friz,far,rel
43,far_right,Away,left,1.0,5.0,13.0,2189950,left,1.0,0.6069999999999993,friz,far,abs
44,far_left,Away,right,1.0,6.0,12.0,2189950,right,1.0,0.75,friz,far,abs
45,far_right,Home,right,1.0,7.0,9.0,2189950,right,1.0,0.6479999999999961,friz,far,abs
46,far_right,Right,left,1.0,8.0,1.0,2189950,left,1.0,0.6839999999999975,friz,far,rel
47,far_left,Home,left,1.0,9.0,8.0,2189950,left,1.0,0.8000000000000114,friz,far,abs
48,near_left,Home,left,1.0,10.0,10.0,2189950,left,1.0,0.8160000000000025,friz,near,abs
49,near_right,Left,left,1.0,11.0,7.0,2189950,left,1.0,0.8669999999999902,friz,near,rel
50,far_left,Left,right,1.0,12.0,4.0,2189950,right,1.0,1.0020000000000095,friz,far,rel
51,near_right,Away,left,1.0,13.0,15.0,2189950,left,1.0,0.7329999999999757,friz,near,abs
52,far_left,Right,left,1.0,14.0,0.0,2189950,left,1.0,1.1170000000000186,friz,far,rel
53,near_right,Home,right,1.0,15.0,11.0,2189950,right,1.0,0.9180000000000064,friz,near,abs
54,far_left,Home,left,2.0,0.0,8.0,2189950,left,1.0,0.6500000000000057,friz,far,abs
55,near_right,Right,right,2.0,1.0,3.0,2189950,right,1.0,0.9019999999999868,friz,near,rel
56,near_right,Home,right,2.0,2.0,11.0,2189950,right,1.0,0.6339999999999577,friz,near,abs
57,far_right,Right,left,2.0,3.0,1.0,2189950,left,1.0,0.5649999999999977,friz,far,rel
58,near_left,Right,right,2.0,4.0,2.0,2189950,right,1.0,0.8009999999999877,friz,near,rel
59,far_left,Left,right,2.0,5.0,4.0,2189950,left,0.0,0.8500000000000227,friz,far,rel
60,near_left,Home,left,2.0,6.0,10.0,2189950,left,1.0,0.785000000000025,friz,near,abs
61,near_right,Left,left,2.0,7.0,7.0,2189950,left,1.0,1.7680000000000289,friz,near,rel
62,far_right,Home,right,2.0,8.0,9.0,2189950,right,1.0,0.4690000000000509,friz,far,abs
63,near_left,Away,right,2.0,9.0,14.0,2189950,right,1.0,1.0009999999999764,friz,near,abs
64,far_right,Left,right,2.0,10.0,5.0,2189950,right,1.0,0.9989999999999668,friz,far,rel
65,far_right,Away,left,2.0,11.0,13.0,2189950,left,1.0,0.9660000000000082,friz,far,abs
66,near_right,Away,left,2.0,12.0,15.0,2189950,left,1.0,0.7830000000000155,friz,near,abs
67,far_left,Away,right,2.0,13.0,12.0,2189950,right,1.0,0.6689999999999827,friz,far,abs
68,near_left,Left,left,2.0,14.0,6.0,2189950,right,0.0,0.9209999999999924,friz,near,rel
