,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect
52,far_left,Home,right,1.0,14.0,4.0,21208596,right,1.0,1.1329999999999814,Frisbee,Far,Absolute,Left,nonflipper,1.0
53,far_left,Away,right,1.0,15.0,12.0,21208596,right,1.0,1.1650000000000205,Frisbee,Far,Absolute,Left,nonflipper,1.0
54,far_left,Away,right,2.0,0.0,12.0,21208596,right,1.0,0.6499999999999773,Frisbee,Far,Absolute,Left,nonflipper,1.0
55,near_right,Away,left,2.0,1.0,15.0,21208596,left,1.0,0.7330000000000041,Frisbee,Near,Absolute,Right,nonflipper,1.0
56,far_left,Home,right,2.0,2.0,4.0,21208596,right,1.0,0.7819999999999823,Frisbee,Far,Absolute,Left,nonflipper,1.0
57,near_right,Right,right,2.0,3.0,11.0,21208596,right,1.0,0.7660000000000196,Frisbee,Near,Relative,Right,nonflipper,1.0
58,far_right,Home,right,2.0,4.0,5.0,21208596,right,1.0,1.0,Frisbee,Far,Absolute,Right,nonflipper,1.0
59,far_left,Left,left,2.0,5.0,0.0,21208596,left,1.0,0.9010000000000103,Frisbee,Far,Relative,Left,nonflipper,1.0
60,far_left,Right,left,2.0,6.0,8.0,21208596,left,1.0,0.8170000000000073,Frisbee,Far,Relative,Left,nonflipper,1.0
61,far_right,Away,left,2.0,7.0,13.0,21208596,left,1.0,1.1490000000000011,Frisbee,Far,Absolute,Right,nonflipper,1.0
62,far_right,Right,right,2.0,8.0,9.0,21208596,right,1.0,1.2989999999999782,Frisbee,Far,Relative,Right,nonflipper,1.0
63,near_left,Left,right,2.0,9.0,2.0,21208596,right,1.0,0.8100000000000023,Frisbee,Near,Relative,Left,nonflipper,1.0
64,near_left,Away,right,2.0,10.0,14.0,21208596,left,0.0,0.7170000000000414,Frisbee,Near,Absolute,Left,nonflipper,0.0
65,near_right,Left,right,2.0,11.0,3.0,21208596,right,1.0,0.8659999999999854,Frisbee,Near,Relative,Right,nonflipper,1.0
66,near_left,Home,left,2.0,12.0,6.0,21208596,left,1.0,0.9490000000000124,Frisbee,Near,Absolute,Left,nonflipper,1.0
67,near_right,Home,left,2.0,13.0,7.0,21208596,left,1.0,0.9850000000000136,Frisbee,Near,Absolute,Right,nonflipper,1.0
68,near_left,Right,left,2.0,14.0,10.0,21208596,left,1.0,1.0,Frisbee,Near,Relative,Left,nonflipper,1.0
69,far_right,Left,left,2.0,15.0,1.0,21208596,left,1.0,0.8830000000000382,Frisbee,Far,Relative,Right,nonflipper,1.0
70,near_right,Home,left,3.0,0.0,7.0,21208596,left,1.0,0.8329999999999699,Frisbee,Near,Absolute,Right,nonflipper,1.0
71,near_right,Left,right,3.0,1.0,3.0,21208596,right,1.0,0.9850000000000136,Frisbee,Near,Relative,Right,nonflipper,1.0
72,near_left,Left,right,3.0,2.0,2.0,21208596,right,1.0,1.4499999999999886,Frisbee,Near,Relative,Left,nonflipper,1.0
73,far_right,Away,left,3.0,3.0,13.0,21208596,left,1.0,1.2819999999999825,Frisbee,Far,Absolute,Right,nonflipper,1.0
74,near_left,Right,left,3.0,4.0,10.0,21208596,left,1.0,1.7340000000000373,Frisbee,Near,Relative,Left,nonflipper,1.0
75,far_right,Left,left,3.0,5.0,1.0,21208596,left,1.0,0.8160000000000309,Frisbee,Far,Relative,Right,nonflipper,1.0
76,far_right,Right,right,3.0,6.0,9.0,21208596,right,1.0,2.834000000000003,Frisbee,Far,Relative,Right,nonflipper,1.0
77,near_right,Right,right,3.0,7.0,11.0,21208596,right,1.0,0.6829999999999927,Frisbee,Near,Relative,Right,nonflipper,1.0
78,far_left,Home,right,3.0,8.0,4.0,21208596,right,1.0,0.9019999999999868,Frisbee,Far,Absolute,Left,nonflipper,1.0
79,far_left,Away,right,3.0,9.0,12.0,21208596,right,1.0,1.0170000000000528,Frisbee,Far,Absolute,Left,nonflipper,1.0
80,near_right,Away,left,3.0,10.0,15.0,21208596,left,1.0,0.9669999999999844,Frisbee,Near,Absolute,Right,nonflipper,1.0
81,far_right,Home,right,3.0,11.0,5.0,21208596,right,1.0,1.6159999999999854,Frisbee,Far,Absolute,Right,nonflipper,1.0
82,far_left,Right,left,3.0,12.0,8.0,21208596,left,1.0,0.75,Frisbee,Far,Relative,Left,nonflipper,1.0
83,near_left,Away,right,3.0,13.0,14.0,21208596,right,1.0,0.8170000000000073,Frisbee,Near,Absolute,Left,nonflipper,1.0
84,far_left,Left,left,3.0,14.0,0.0,21208596,left,1.0,0.9169999999999732,Frisbee,Far,Relative,Left,nonflipper,1.0
85,near_left,Home,left,3.0,15.0,6.0,21208596,left,1.0,1.2839999999999918,Frisbee,Near,Absolute,Left,nonflipper,1.0
22,near_left,Home,left,0.0,0.0,6.0,2189950,left,1.0,1.0670000000000073,Frisbee,Near,Absolute,Left,nonflipper,1.0
23,far_left,Away,right,0.0,1.0,12.0,2189950,right,1.0,1.0049999999999957,Frisbee,Far,Absolute,Left,nonflipper,1.0
24,far_right,Home,right,0.0,2.0,5.0,2189950,right,1.0,0.9989999999999952,Frisbee,Far,Absolute,Right,nonflipper,1.0
25,far_right,Left,left,0.0,3.0,1.0,2189950,left,1.0,0.9320000000000164,Frisbee,Far,Relative,Right,nonflipper,1.0
26,far_right,Right,right,0.0,4.0,9.0,2189950,right,1.0,0.7340000000000089,Frisbee,Far,Relative,Right,nonflipper,1.0
27,far_left,Left,left,0.0,5.0,0.0,2189950,left,1.0,1.2340000000000089,Frisbee,Far,Relative,Left,nonflipper,1.0
28,near_left,Right,left,0.0,6.0,10.0,2189950,left,1.0,0.983000000000004,Frisbee,Near,Relative,Left,nonflipper,1.0
29,near_left,Away,right,0.0,7.0,14.0,2189950,right,1.0,0.6659999999999968,Frisbee,Near,Absolute,Left,nonflipper,1.0
30,near_right,Right,right,0.0,8.0,11.0,2189950,right,1.0,1.0360000000000014,Frisbee,Near,Relative,Right,nonflipper,1.0
31,near_right,Away,left,0.0,9.0,15.0,2189950,left,1.0,1.1670000000000016,Frisbee,Near,Absolute,Right,nonflipper,1.0
32,far_right,Away,left,0.0,10.0,13.0,2189950,left,1.0,0.681999999999988,Frisbee,Far,Absolute,Right,nonflipper,1.0
33,near_right,Left,right,0.0,11.0,3.0,2189950,right,1.0,1.768000000000001,Frisbee,Near,Relative,Right,nonflipper,1.0
34,far_left,Home,right,0.0,12.0,4.0,2189950,right,1.0,1.1000000000000227,Frisbee,Far,Absolute,Left,nonflipper,1.0
35,near_left,Left,right,0.0,13.0,2.0,2189950,right,1.0,1.051000000000016,Frisbee,Near,Relative,Left,nonflipper,1.0
36,near_right,Home,left,0.0,14.0,7.0,2189950,left,1.0,0.8010000000000161,Frisbee,Near,Absolute,Right,nonflipper,1.0
37,far_left,Right,left,0.0,15.0,8.0,2189950,left,1.0,0.6340000000000146,Frisbee,Far,Relative,Left,nonflipper,1.0
38,near_left,Away,right,1.0,0.0,14.0,2189950,right,1.0,0.8509999999999991,Frisbee,Near,Absolute,Left,nonflipper,1.0
39,near_left,Left,right,1.0,1.0,2.0,2189950,right,1.0,0.6980000000000075,Frisbee,Near,Relative,Left,nonflipper,1.0
40,near_right,Left,right,1.0,2.0,3.0,2189950,right,1.0,0.948999999999984,Frisbee,Near,Relative,Right,nonflipper,1.0
41,near_left,Home,left,1.0,3.0,6.0,2189950,left,1.0,0.8010000000000161,Frisbee,Near,Absolute,Left,nonflipper,1.0
42,far_right,Home,right,1.0,4.0,5.0,2189950,right,1.0,0.7319999999999993,Frisbee,Far,Absolute,Right,nonflipper,1.0
43,far_right,Away,left,1.0,5.0,13.0,2189950,left,1.0,0.6069999999999993,Frisbee,Far,Absolute,Right,nonflipper,1.0
44,far_left,Away,right,1.0,6.0,12.0,2189950,right,1.0,0.75,Frisbee,Far,Absolute,Left,nonflipper,1.0
45,far_right,Right,right,1.0,7.0,9.0,2189950,right,1.0,0.6479999999999961,Frisbee,Far,Relative,Right,nonflipper,1.0
46,far_right,Left,left,1.0,8.0,1.0,2189950,left,1.0,0.6839999999999975,Frisbee,Far,Relative,Right,nonflipper,1.0
47,far_left,Right,left,1.0,9.0,8.0,2189950,left,1.0,0.8000000000000114,Frisbee,Far,Relative,Left,nonflipper,1.0
48,near_left,Right,left,1.0,10.0,10.0,2189950,left,1.0,0.8160000000000025,Frisbee,Near,Relative,Left,nonflipper,1.0
49,near_right,Home,left,1.0,11.0,7.0,2189950,left,1.0,0.8669999999999902,Frisbee,Near,Absolute,Right,nonflipper,1.0
50,far_left,Home,right,1.0,12.0,4.0,2189950,right,1.0,1.0020000000000095,Frisbee,Far,Absolute,Left,nonflipper,1.0
51,near_right,Away,left,1.0,13.0,15.0,2189950,left,1.0,0.7329999999999757,Frisbee,Near,Absolute,Right,nonflipper,1.0
52,far_left,Left,left,1.0,14.0,0.0,2189950,left,1.0,1.1170000000000186,Frisbee,Far,Relative,Left,nonflipper,1.0
53,near_right,Right,right,1.0,15.0,11.0,2189950,right,1.0,0.9180000000000064,Frisbee,Near,Relative,Right,nonflipper,1.0
54,far_left,Right,left,2.0,0.0,8.0,2189950,left,1.0,0.6500000000000057,Frisbee,Far,Relative,Left,nonflipper,1.0
55,near_right,Left,right,2.0,1.0,3.0,2189950,right,1.0,0.9019999999999868,Frisbee,Near,Relative,Right,nonflipper,1.0
56,near_right,Right,right,2.0,2.0,11.0,2189950,right,1.0,0.6339999999999577,Frisbee,Near,Relative,Right,nonflipper,1.0
57,far_right,Left,left,2.0,3.0,1.0,2189950,left,1.0,0.5649999999999977,Frisbee,Far,Relative,Right,nonflipper,1.0
58,near_left,Left,right,2.0,4.0,2.0,2189950,right,1.0,0.8009999999999877,Frisbee,Near,Relative,Left,nonflipper,1.0
59,far_left,Home,right,2.0,5.0,4.0,2189950,left,0.0,0.8500000000000227,Frisbee,Far,Absolute,Left,nonflipper,0.0
60,near_left,Right,left,2.0,6.0,10.0,2189950,left,1.0,0.785000000000025,Frisbee,Near,Relative,Left,nonflipper,1.0
61,near_right,Home,left,2.0,7.0,7.0,2189950,left,1.0,1.7680000000000289,Frisbee,Near,Absolute,Right,nonflipper,1.0
62,far_right,Right,right,2.0,8.0,9.0,2189950,right,1.0,0.4690000000000509,Frisbee,Far,Relative,Right,nonflipper,1.0
63,near_left,Away,right,2.0,9.0,14.0,2189950,right,1.0,1.0009999999999764,Frisbee,Near,Absolute,Left,nonflipper,1.0
64,far_right,Home,right,2.0,10.0,5.0,2189950,right,1.0,0.9989999999999668,Frisbee,Far,Absolute,Right,nonflipper,1.0
