condition,Frisbee,Frisbee,Frisbee,Frisbee,Navigation,Navigation,Navigation,Navigation,Frisbee_Rel_minus_Abs_Far,Frisbee_Rel_minus_Abs_Near,Frisbee_Rel_minus_Abs,Nav_Rel_minus_Abs_Far,Nav_Rel_minus_Abs_Near,Nav_Rel_minus_Abs
stimLoc,Far,Far,Near,Near,Far,Far,Near,Near,,,,,,
promptType,Absolute,Relative,Absolute,Relative,Absolute,Relative,Absolute,Relative,,,,,,
participant,,,,,,,,,,,,,,
21208596,1.0810624999999945,0.8934000000000007,1.006375000000002,1.002812500000008,0.869250000000001,1.2016875000000056,0.8471249999999912,0.8410624999999996,-0.18766249999999374,-0.0035624999999939178,-0.09561249999999383,0.3324375000000046,-0.006062499999991644,0.16318750000000648
2189950,0.8725625000000008,0.8514375000000047,0.9433749999999979,0.9077499999999983,0.7380625000000016,1.1651250000000122,0.8068750000000069,0.7619999999999969,-0.021124999999996064,-0.035624999999999574,-0.02837499999999782,0.42706250000001056,-0.04487500000000999,0.19109375000000028
22363073,1.0367499999999925,1.110437499999998,1.2329375000000038,1.0773750000000089,0.8236875000000072,1.193500000000009,0.736187499999998,0.810874999999994,0.07368750000000546,-0.15556249999999494,-0.04093749999999474,0.3698125000000019,0.07468749999999602,0.22224999999999895
24523564,1.449833333333333,1.533153846153836,1.4974666666666736,1.2694166666666693,0.9832500000000071,1.5219374999999964,1.0383124999999964,1.022812499999997,0.08332051282050301,-0.2280500000000043,-0.07236474358975065,0.5386874999999893,-0.015499999999999403,0.26159374999999496
26044874,1.5713076923076896,1.1058125000000025,1.2954000000000008,1.2994375000000016,1.3107333333333278,1.30706249999999,0.9003750000000057,0.932937499999996,-0.4654951923076871,0.004037500000000804,-0.23072884615384315,-0.0036708333333377308,0.03256249999999028,0.014445833333326275
28057826,0.8091250000000016,0.9536875000000009,1.1043749999999992,0.7830625000000015,0.8491250000000026,0.9963749999999969,0.7866875000000011,0.7942499999999963,0.14456249999999926,-0.32131249999999767,-0.0883749999999992,0.14724999999999433,0.007562499999995254,0.07740624999999479
30426108,1.2694375000000004,1.0483124999999909,1.2943124999999984,1.0879999999999974,1.4006874999999983,1.3493125000000017,0.9014375000000001,0.9826250000000041,-0.22112500000000956,-0.206312500000001,-0.2137187500000053,-0.05137499999999662,0.08118750000000396,0.014906250000003674
32670019,1.3321250000000084,1.056062500000003,0.918125000000007,1.083812499999997,1.0163125000000068,1.4726250000000096,0.7524374999999992,0.6485000000000021,-0.27606250000000543,0.16568749999999,-0.055187500000007716,0.4563125000000028,-0.10393749999999713,0.17618750000000283
34545091,1.0097500000000004,0.9269333333333293,0.9440000000000097,0.9523750000000017,1.1396250000000023,1.1588125000000051,0.7358124999999909,0.8546874999999972,-0.08281666666667109,0.008374999999992028,-0.03722083333333953,0.0191875000000028,0.11887500000000628,0.06903125000000454
36148861,1.0939374999999885,1.031562499999989,1.1512499999999974,1.0118666666666627,1.0878125000000018,1.5505000000000035,0.7684999999999995,1.0606874999999967,-0.0623749999999994,-0.13938333333333475,-0.10087916666666707,0.4626875000000017,0.29218749999999716,0.3774374999999994
3651739,1.187187499999995,1.1707499999999982,1.004937500000004,0.8237333333333311,0.8806000000000059,1.0278125000000085,0.7552499999999966,0.7241875000000064,-0.016437499999996774,-0.18120416666667294,-0.09882083333333486,0.14721250000000252,-0.031062499999990223,0.05807500000000615
3771103,1.1274999999999906,1.0213125000000058,1.0555625000000006,1.0288750000000046,1.4794999999999914,1.2556666666666616,1.0153124999999985,0.9538125000000033,-0.10618749999998478,-0.02668749999999598,-0.06643749999999038,-0.22383333333332978,-0.061499999999995225,-0.1426666666666625
38638936,0.8348749999999967,0.8286875000000009,0.8788750000000025,0.8361874999999994,0.9735000000000014,0.8130000000000006,0.730750000000004,0.7171249999999967,-0.006187499999995794,-0.0426875000000031,-0.024437499999999446,-0.16050000000000075,-0.013625000000007326,-0.08706250000000404
3880734,1.55035714285717,1.5045714285714504,1.38928571428575,1.3733846153846185,1.3925625000003947,1.6077857142858452,0.9203749999999218,1.0666666666669091,-0.04578571428571965,-0.01590109890113145,-0.03084340659342555,0.21522321428545044,0.14629166666698734,0.1807574404762189
40119543,1.5240624999999994,1.3803124999999845,1.4122499999999967,1.4261874999999975,1.201000000000004,1.3738666666666632,1.0889375000000037,1.0723749999999939,-0.14375000000001492,0.013937500000000824,-0.06490625000000705,0.17286666666665917,-0.016562500000009805,0.07815208333332468
40321903,1.3953750000000067,1.2955624999999973,1.494500000000004,1.0404999999999962,1.097875000000002,1.0187333333333337,0.8243750000000052,0.7893749999999962,-0.09981250000000941,-0.45400000000000773,-0.27690625000000857,-0.07914166666666822,-0.035000000000009024,-0.05707083333333862
40632896,1.1933750000000032,1.0381875000000012,0.9922500000000039,0.9503750000000046,0.9651874999999972,1.274437499999996,0.7975625000000033,0.8778124999999957,-0.15518750000000203,-0.04187499999999922,-0.09853125000000063,0.3092499999999987,0.08024999999999238,0.19474999999999554
41685255,1.6771874999999952,1.3824615384615369,1.676714285714287,1.4291333333333323,1.254437499999998,1.6508571428571486,0.9253125000000004,1.098249999999993,-0.2947259615384583,-0.24758095238095468,-0.2711534569597065,0.3964196428571505,0.17293749999999264,0.28467857142857156
43843481,0.9638749999999945,0.8724999999999952,0.9500625000000031,0.8141875000000045,0.872187499999999,0.866125000000002,0.8562499999999904,0.7538124999999969,-0.09137499999999932,-0.13587499999999864,-0.11362499999999898,-0.006062499999996973,-0.10243749999999352,-0.054249999999995246
44376975,1.2049999999999652,1.6012500000000216,1.7443636363636352,1.342250000000007,1.5273999999999888,1.5170000000000203,1.3520666666666632,1.0871250000000057,0.3962500000000564,-0.4021136363636282,-0.0029318181817858946,-0.010399999999968434,-0.2649416666666575,-0.13767083333331298
