,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType
71,far_right,Away,left,3.0,1.0,5.0,21208596,left,1.0,1.0480000000000018,Navigation,Far,Absolute
72,near_right,Right,right,3.0,2.0,15.0,21208596,right,1.0,0.6330000000000382,Navigation,Near,Relative
73,far_left,Away,right,3.0,3.0,4.0,21208596,right,1.0,0.7660000000000764,Navigation,Far,Absolute
74,near_right,Home,right,3.0,4.0,3.0,21208596,right,1.0,0.7199999999999136,Navigation,Near,Absolute
75,near_right,Away,left,3.0,5.0,7.0,21208596,left,1.0,1.7819999999999254,Navigation,Near,Absolute
76,near_left,Right,right,3.0,6.0,14.0,21208596,right,1.0,0.7329999999999472,Navigation,Near,Relative
77,far_left,Left,right,3.0,7.0,8.0,21208596,right,1.0,1.0650000000000546,Navigation,Far,Relative
78,far_right,Right,left,3.0,8.0,13.0,21208596,left,1.0,1.6000000000000227,Navigation,Far,Relative
79,near_right,Left,left,3.0,9.0,11.0,21208596,left,1.0,0.8999999999999773,Navigation,Near,Relative
80,far_right,Left,right,3.0,10.0,9.0,21208596,right,1.0,1.2830000000000157,Navigation,Far,Relative
81,far_right,Home,right,3.0,11.0,1.0,21208596,right,1.0,0.6989999999999554,Navigation,Far,Absolute
82,near_left,Home,left,3.0,12.0,2.0,21208596,left,1.0,0.8020000000000209,Navigation,Near,Absolute
83,far_left,Home,left,3.0,13.0,0.0,21208596,left,1.0,1.0130000000000337,Navigation,Far,Absolute
84,near_left,Away,right,3.0,14.0,6.0,21208596,right,1.0,0.8500000000000227,Navigation,Near,Absolute
85,near_left,Left,left,3.0,15.0,10.0,21208596,left,1.0,0.66700000000003,Navigation,Near,Relative
22,near_left,Right,right,0.0,0.0,14.0,2189950,right,1.0,0.8819999999999766,Navigation,Near,Relative
23,near_right,Away,left,0.0,1.0,7.0,2189950,left,1.0,0.8830000000000098,Navigation,Near,Absolute
24,near_right,Left,left,0.0,2.0,11.0,2189950,left,1.0,0.8519999999999754,Navigation,Near,Relative
25,far_left,Left,right,0.0,3.0,8.0,2189950,right,1.0,1.4860000000000184,Navigation,Far,Relative
26,near_right,Home,right,0.0,4.0,3.0,2189950,right,1.0,0.8509999999999991,Navigation,Near,Absolute
27,far_right,Home,right,0.0,5.0,1.0,2189950,right,1.0,0.8000000000000114,Navigation,Far,Absolute
28,far_right,Right,left,0.0,6.0,13.0,2189950,left,1.0,1.7839999999999918,Navigation,Far,Relative
29,far_right,Away,left,0.0,7.0,5.0,2189950,left,1.0,1.049999999999983,Navigation,Far,Absolute
30,near_left,Left,left,0.0,8.0,10.0,2189950,left,1.0,0.8169999999999789,Navigation,Near,Relative
31,near_left,Home,left,0.0,9.0,2.0,2189950,left,1.0,0.4840000000000089,Navigation,Near,Absolute
32,far_left,Right,left,0.0,10.0,12.0,2189950,right,0.0,1.309999999999974,Navigation,Far,Relative
33,near_left,Away,right,0.0,11.0,6.0,2189950,right,1.0,1.5339999999999918,Navigation,Near,Absolute
34,far_right,Left,right,0.0,12.0,9.0,2189950,right,1.0,1.3340000000000032,Navigation,Far,Relative
35,far_left,Away,right,0.0,13.0,4.0,2189950,right,1.0,0.8189999999999884,Navigation,Far,Absolute
36,far_left,Home,left,0.0,14.0,0.0,2189950,left,1.0,0.7360000000000184,Navigation,Far,Absolute
37,near_right,Right,right,0.0,15.0,15.0,2189950,right,1.0,0.75,Navigation,Near,Relative
38,far_right,Home,right,1.0,0.0,1.0,2189950,right,1.0,0.6829999999999927,Navigation,Far,Absolute
39,near_left,Left,left,1.0,1.0,10.0,2189950,left,1.0,1.1680000000000064,Navigation,Near,Relative
40,near_right,Away,left,1.0,2.0,7.0,2189950,left,1.0,0.7669999999999959,Navigation,Near,Absolute
41,near_left,Home,left,1.0,3.0,2.0,2189950,left,1.0,0.6980000000000075,Navigation,Near,Absolute
42,far_right,Right,left,1.0,4.0,13.0,2189950,left,1.0,1.217000000000013,Navigation,Far,Relative
43,far_left,Left,right,1.0,5.0,8.0,2189950,right,1.0,1.1009999999999989,Navigation,Far,Relative
44,far_right,Away,left,1.0,6.0,5.0,2189950,left,1.0,0.7350000000000136,Navigation,Far,Absolute
45,far_left,Away,right,1.0,7.0,4.0,2189950,right,1.0,0.7489999999999952,Navigation,Far,Absolute
46,far_right,Left,right,1.0,8.0,9.0,2189950,right,1.0,1.75,Navigation,Far,Relative
47,near_right,Home,right,1.0,9.0,3.0,2189950,right,1.0,1.5519999999999925,Navigation,Near,Absolute
48,near_left,Away,right,1.0,10.0,6.0,2189950,right,1.0,0.6670000000000016,Navigation,Near,Absolute
49,near_right,Left,left,1.0,11.0,11.0,2189950,left,1.0,0.6829999999999927,Navigation,Near,Relative
50,far_left,Home,left,1.0,12.0,0.0,2189950,left,1.0,0.7019999999999982,Navigation,Far,Absolute
51,near_left,Right,right,1.0,13.0,14.0,2189950,right,1.0,0.7690000000000055,Navigation,Near,Relative
52,far_left,Right,left,1.0,14.0,12.0,2189950,left,1.0,1.2000000000000457,Navigation,Far,Relative
53,near_right,Right,right,1.0,15.0,15.0,2189950,right,1.0,0.8360000000000127,Navigation,Near,Relative
54,near_right,Left,left,2.0,0.0,11.0,2189950,left,1.0,0.7509999999999764,Navigation,Near,Relative
55,near_left,Right,right,2.0,1.0,14.0,2189950,right,1.0,0.6490000000000009,Navigation,Near,Relative
56,far_left,Away,right,2.0,2.0,4.0,2189950,right,1.0,0.8330000000000268,Navigation,Far,Absolute
57,near_right,Away,left,2.0,3.0,7.0,2189950,left,1.0,0.7180000000000177,Navigation,Near,Absolute
58,near_right,Home,right,2.0,4.0,3.0,2189950,right,1.0,0.6350000000000477,Navigation,Near,Absolute
59,near_left,Home,left,2.0,5.0,2.0,2189950,left,1.0,0.6519999999999868,Navigation,Near,Absolute
60,near_right,Right,right,2.0,6.0,15.0,2189950,right,1.0,0.7669999999999959,Navigation,Near,Relative
61,far_left,Right,left,2.0,7.0,12.0,2189950,left,1.0,0.9690000000000508,Navigation,Far,Relative
62,far_left,Left,right,2.0,8.0,8.0,2189950,right,1.0,0.8340000000000032,Navigation,Far,Relative
63,near_left,Left,left,2.0,9.0,10.0,2189950,left,1.0,0.6490000000000009,Navigation,Near,Relative
64,near_left,Away,right,2.0,10.0,6.0,2189950,right,1.0,0.6009999999999991,Navigation,Near,Absolute
65,far_right,Home,right,2.0,11.0,1.0,2189950,right,1.0,0.5339999999999918,Navigation,Far,Absolute
66,far_right,Away,left,2.0,12.0,5.0,2189950,left,1.0,0.5679999999999836,Navigation,Far,Absolute
67,far_right,Right,left,2.0,13.0,13.0,2189950,right,0.0,0.6829999999999927,Navigation,Far,Relative
68,far_left,Home,left,2.0,14.0,0.0,2189950,left,1.0,0.8319999999999936,Navigation,Far,Absolute
69,far_right,Left,right,2.0,15.0,9.0,2189950,right,1.0,0.9169999999999732,Navigation,Far,Relative
70,near_left,Right,right,3.0,0.0,14.0,2189950,right,1.0,0.9510000000000218,Navigation,Near,Relative
71,near_right,Right,right,3.0,1.0,15.0,2189950,right,1.0,0.6829999999999927,Navigation,Near,Relative
72,near_left,Left,left,3.0,2.0,10.0,2189950,left,1.0,0.4510000000000218,Navigation,Near,Relative
73,near_right,Away,left,3.0,3.0,7.0,2189950,left,1.0,0.6330000000000382,Navigation,Near,Absolute
74,far_right,Right,left,3.0,4.0,13.0,2189950,left,1.0,0.7490000000000236,Navigation,Far,Relative
75,near_right,Home,right,3.0,5.0,3.0,2189950,right,1.0,0.8170000000000073,Navigation,Near,Absolute
76,near_right,Left,left,3.0,6.0,11.0,2189950,left,1.0,0.5339999999999918,Navigation,Near,Relative
77,far_right,Away,left,3.0,7.0,5.0,2189950,left,1.0,0.7330000000000041,Navigation,Far,Absolute
78,near_left,Home,left,3.0,8.0,2.0,2189950,left,1.0,0.7180000000000177,Navigation,Near,Absolute
79,far_left,Right,left,3.0,9.0,12.0,2189950,right,0.0,1.2720000000000482,Navigation,Far,Relative
80,far_right,Home,right,3.0,10.0,1.0,2189950,right,1.0,0.6830000000000496,Navigation,Far,Absolute
81,far_left,Left,right,3.0,11.0,8.0,2189950,right,1.0,0.9680000000000176,Navigation,Far,Relative
82,far_left,Away,right,3.0,12.0,4.0,2189950,right,1.0,0.6329999999999814,Navigation,Far,Absolute
83,far_right,Left,right,3.0,13.0,9.0,2189950,right,1.0,1.0680000000000405,Navigation,Far,Relative
84,near_left,Away,right,3.0,14.0,6.0,2189950,right,1.0,0.6999999999999886,Navigation,Near,Absolute
85,far_left,Home,left,3.0,15.0,0.0,2189950,left,1.0,0.7189999999999941,Navigation,Far,Absolute
22,near_right,Right,right,0.0,0.0,15.0,22363073,right,1.0,0.7179999999999893,Navigation,Near,Relative
23,far_right,Away,left,0.0,1.0,5.0,22363073,left,1.0,1.0509999999999875,Navigation,Far,Absolute
24,near_right,Home,right,0.0,2.0,3.0,22363073,right,1.0,0.5529999999999973,Navigation,Near,Absolute
25,far_left,Home,left,0.0,3.0,0.0,22363073,left,1.0,0.75,Navigation,Far,Absolute
26,near_left,Right,right,0.0,4.0,14.0,22363073,right,1.0,1.117999999999995,Navigation,Near,Relative
27,far_left,Left,right,0.0,5.0,8.0,22363073,right,1.0,1.9530000000000032,Navigation,Far,Relative
28,far_right,Home,right,0.0,6.0,1.0,22363073,right,1.0,0.962999999999994,Navigation,Far,Absolute
29,near_left,Away,right,0.0,7.0,6.0,22363073,right,1.0,0.9860000000000184,Navigation,Near,Absolute
30,near_left,Left,left,0.0,8.0,10.0,22363073,left,1.0,0.7700000000000102,Navigation,Near,Relative
31,near_left,Home,left,0.0,9.0,2.0,22363073,left,1.0,0.681999999999988,Navigation,Near,Absolute
32,far_right,Right,left,0.0,10.0,13.0,22363073,left,1.0,1.2340000000000089,Navigation,Far,Relative
33,far_left,Away,right,0.0,11.0,4.0,22363073,right,1.0,0.906000000000006,Navigation,Far,Absolute
34,far_left,Right,left,0.0,12.0,12.0,22363073,left,1.0,1.9339999999999973,Navigation,Far,Relative
35,near_right,Left,left,0.0,13.0,11.0,22363073,left,1.0,0.8189999999999884,Navigation,Near,Relative
36,near_right,Away,left,0.0,14.0,7.0,22363073,left,1.0,0.9149999999999922,Navigation,Near,Absolute
37,far_right,Left,right,0.0,15.0,9.0,22363073,right,1.0,1.4540000000000075,Navigation,Far,Relative
38,far_left,Left,right,1.0,0.0,8.0,22363073,right,1.0,1.134999999999991,Navigation,Far,Relative
39,far_right,Away,left,1.0,1.0,5.0,22363073,left,1.0,0.8480000000000132,Navigation,Far,Absolute
40,near_right,Away,left,1.0,2.0,7.0,22363073,left,1.0,0.6850000000000023,Navigation,Near,Absolute
41,far_left,Away,right,1.0,3.0,4.0,22363073,right,1.0,0.7350000000000136,Navigation,Far,Absolute
42,near_right,Left,left,1.0,4.0,11.0,22363073,left,1.0,0.75,Navigation,Near,Relative
43,far_left,Home,left,1.0,5.0,0.0,22363073,left,1.0,0.6639999999999873,Navigation,Far,Absolute
44,far_right,Right,left,1.0,6.0,13.0,22363073,left,1.0,1.4840000000000373,Navigation,Far,Relative
45,near_left,Home,left,1.0,7.0,2.0,22363073,left,1.0,0.7019999999999982,Navigation,Near,Absolute
46,near_right,Right,right,1.0,8.0,15.0,22363073,right,1.0,0.6499999999999773,Navigation,Near,Relative
47,near_left,Right,right,1.0,9.0,14.0,22363073,right,1.0,0.6169999999999618,Navigation,Near,Relative
48,far_right,Left,right,1.0,10.0,9.0,22363073,right,1.0,1.3320000000000505,Navigation,Far,Relative
49,near_left,Away,right,1.0,11.0,6.0,22363073,right,1.0,0.9350000000000024,Navigation,Near,Absolute
50,far_right,Home,right,1.0,12.0,1.0,22363073,right,1.0,0.6840000000000259,Navigation,Far,Absolute
51,far_left,Right,left,1.0,13.0,12.0,22363073,left,1.0,0.9659999999999512,Navigation,Far,Relative
52,near_left,Left,left,1.0,14.0,10.0,22363073,left,1.0,1.4350000000000025,Navigation,Near,Relative
53,near_right,Home,right,1.0,15.0,3.0,22363073,right,1.0,0.4830000000000041,Navigation,Near,Absolute
54,far_left,Right,left,2.0,0.0,12.0,22363073,left,1.0,0.6810000000000401,Navigation,Far,Relative
55,near_left,Away,right,2.0,1.0,6.0,22363073,right,1.0,1.0049999999999957,Navigation,Near,Absolute
56,far_right,Right,left,2.0,2.0,13.0,22363073,left,1.0,0.6850000000000023,Navigation,Far,Relative
57,near_left,Home,left,2.0,3.0,2.0,22363073,left,1.0,0.5669999999999504,Navigation,Near,Absolute
58,near_right,Home,right,2.0,4.0,3.0,22363073,right,1.0,0.5680000000000405,Navigation,Near,Absolute
59,far_left,Home,left,2.0,5.0,0.0,22363073,left,1.0,0.4379999999999882,Navigation,Far,Absolute
60,near_left,Right,right,2.0,6.0,14.0,22363073,right,1.0,0.8180000000000405,Navigation,Near,Relative
61,far_right,Home,right,2.0,7.0,1.0,22363073,right,1.0,0.6170000000000186,Navigation,Far,Absolute
62,near_right,Right,right,2.0,8.0,15.0,22363073,right,1.0,0.5849999999999795,Navigation,Near,Relative
63,far_right,Left,right,2.0,9.0,9.0,22363073,right,1.0,0.8840000000000146,Navigation,Far,Relative
64,far_left,Left,right,2.0,10.0,8.0,22363073,right,1.0,1.0710000000000264,Navigation,Far,Relative
65,near_left,Left,left,2.0,11.0,10.0,22363073,right,0.0,1.0509999999999875,Navigation,Near,Relative
66,far_left,Away,right,2.0,12.0,4.0,22363073,right,1.0,0.8670000000000186,Navigation,Far,Absolute
67,far_right,Away,left,2.0,13.0,5.0,22363073,left,1.0,0.9190000000000396,Navigation,Far,Absolute
68,near_right,Away,left,2.0,14.0,7.0,22363073,left,1.0,0.6560000000000059,Navigation,Near,Absolute
69,near_right,Left,left,2.0,15.0,11.0,22363073,left,1.0,0.7230000000000132,Navigation,Near,Relative
70,near_right,Left,left,3.0,0.0,11.0,22363073,left,1.0,0.5200000000000387,Navigation,Near,Relative
71,near_left,Home,left,3.0,1.0,2.0,22363073,left,1.0,0.7820000000000391,Navigation,Near,Absolute
72,far_right,Away,left,3.0,2.0,5.0,22363073,left,1.0,0.7690000000000055,Navigation,Far,Absolute
73,far_right,Home,right,3.0,3.0,1.0,22363073,right,1.0,0.6840000000000259,Navigation,Far,Absolute
74,far_right,Right,left,3.0,4.0,13.0,22363073,left,1.0,1.002999999999986,Navigation,Far,Relative
75,near_left,Left,left,3.0,5.0,10.0,22363073,left,1.0,0.9189999999999828,Navigation,Near,Relative
76,near_left,Away,right,3.0,6.0,6.0,22363073,right,1.0,0.8029999999999973,Navigation,Near,Absolute
77,near_right,Right,right,3.0,7.0,15.0,22363073,right,1.0,0.7829999999999586,Navigation,Near,Relative
78,near_right,Away,left,3.0,8.0,7.0,22363073,left,1.0,0.6679999999999495,Navigation,Near,Absolute
79,far_left,Left,right,3.0,9.0,8.0,22363073,right,1.0,1.0480000000000018,Navigation,Far,Relative
80,far_left,Home,left,3.0,10.0,0.0,22363073,left,1.0,1.3689999999999714,Navigation,Far,Absolute
81,far_left,Right,left,3.0,11.0,12.0,22363073,left,1.0,1.2160000000000082,Navigation,Far,Relative
82,far_left,Away,right,3.0,12.0,4.0,22363073,right,1.0,0.9150000000000204,Navigation,Far,Absolute
83,near_left,Right,right,3.0,13.0,14.0,22363073,right,1.0,0.6979999999999791,Navigation,Near,Relative
84,far_right,Left,right,3.0,14.0,9.0,22363073,right,1.0,1.0160000000000196,Navigation,Far,Relative
85,near_right,Home,right,3.0,15.0,3.0,22363073,right,1.0,0.7889999999999873,Navigation,Near,Absolute
22,near_left,Away,right,0.0,0.0,6.0,24523564,right,1.0,1.0509999999999875,Navigation,Near,Absolute
23,far_left,Left,right,0.0,1.0,8.0,24523564,right,1.0,2.0829999999999984,Navigation,Far,Relative
24,far_right,Left,right,0.0,2.0,9.0,24523564,right,1.0,1.3499999999999943,Navigation,Far,Relative
25,far_left,Home,left,0.0,3.0,0.0,24523564,left,1.0,1.1170000000000186,Navigation,Far,Absolute
26,near_right,Right,right,0.0,4.0,15.0,24523564,right,1.0,0.6829999999999927,Navigation,Near,Relative
27,near_left,Home,left,0.0,5.0,2.0,24523564,left,1.0,0.6159999999999854,Navigation,Near,Absolute
28,near_left,Right,right,0.0,6.0,14.0,24523564,right,1.0,0.7660000000000196,Navigation,Near,Relative
29,far_left,Away,right,0.0,7.0,4.0,24523564,right,1.0,0.9680000000000176,Navigation,Far,Absolute
30,near_right,Home,right,0.0,8.0,3.0,24523564,right,1.0,0.9010000000000103,Navigation,Near,Absolute
31,near_right,Left,left,0.0,9.0,11.0,24523564,left,1.0,0.8170000000000073,Navigation,Near,Relative
32,near_right,Away,left,0.0,10.0,7.0,24523564,left,1.0,1.4989999999999952,Navigation,Near,Absolute
33,far_right,Away,left,0.0,11.0,5.0,24523564,left,1.0,0.7849999999999966,Navigation,Far,Absolute
34,far_left,Right,left,0.0,12.0,12.0,24523564,left,1.0,1.3169999999999789,Navigation,Far,Relative
35,near_left,Left,left,0.0,13.0,10.0,24523564,left,1.0,1.483000000000004,Navigation,Near,Relative
36,far_right,Right,left,0.0,14.0,13.0,24523564,right,0.0,1.1670000000000016,Navigation,Far,Relative
37,far_right,Home,right,0.0,15.0,1.0,24523564,right,1.0,0.9329999999999928,Navigation,Far,Absolute
38,far_left,Right,left,1.0,0.0,12.0,24523564,left,1.0,2.0330000000000155,Navigation,Far,Relative
39,far_left,Home,left,1.0,1.0,0.0,24523564,left,1.0,0.8170000000000073,Navigation,Far,Absolute
40,far_left,Left,right,1.0,2.0,8.0,24523564,right,1.0,1.518000000000001,Navigation,Far,Relative
41,far_right,Right,left,1.0,3.0,13.0,24523564,left,1.0,2.01600000000002,Navigation,Far,Relative
42,near_left,Right,right,1.0,4.0,14.0,24523564,right,1.0,0.7999999999999828,Navigation,Near,Relative
43,far_left,Away,right,1.0,5.0,4.0,24523564,right,1.0,0.9000000000000057,Navigation,Far,Absolute
44,near_left,Home,left,1.0,6.0,2.0,24523564,left,1.0,0.7839999999999918,Navigation,Near,Absolute
45,far_right,Home,right,1.0,7.0,1.0,24523564,right,1.0,1.0150000000000148,Navigation,Far,Absolute
46,near_left,Away,right,1.0,8.0,6.0,24523564,right,1.0,0.6160000000000139,Navigation,Near,Absolute
47,far_right,Left,right,1.0,9.0,9.0,24523564,right,1.0,1.8499999999999943,Navigation,Far,Relative
48,near_right,Home,right,1.0,10.0,3.0,24523564,right,1.0,0.8990000000000009,Navigation,Near,Absolute
49,near_left,Left,left,1.0,11.0,10.0,24523564,left,1.0,0.8160000000000025,Navigation,Near,Relative
50,near_right,Away,left,1.0,12.0,7.0,24523564,left,1.0,1.8160000000000025,Navigation,Near,Absolute
51,near_right,Left,left,1.0,13.0,11.0,24523564,left,1.0,1.2009999999999934,Navigation,Near,Relative
52,near_right,Right,right,1.0,14.0,15.0,24523564,right,1.0,0.8170000000000073,Navigation,Near,Relative
53,far_right,Away,left,1.0,15.0,5.0,24523564,left,1.0,0.8840000000000146,Navigation,Far,Absolute
54,near_right,Home,right,2.0,0.0,3.0,24523564,right,1.0,0.7659999999999911,Navigation,Near,Absolute
55,far_right,Right,left,2.0,1.0,13.0,24523564,left,1.0,0.9499999999999886,Navigation,Far,Relative
56,near_left,Home,left,2.0,2.0,2.0,24523564,left,1.0,0.8480000000000132,Navigation,Near,Absolute
57,near_left,Left,left,2.0,3.0,10.0,24523564,left,1.0,0.8169999999999789,Navigation,Near,Relative
58,far_right,Away,left,2.0,4.0,5.0,24523564,left,1.0,1.3499999999999943,Navigation,Far,Absolute
59,near_left,Right,right,2.0,5.0,14.0,24523564,right,1.0,1.6169999999999902,Navigation,Near,Relative
60,near_right,Right,right,2.0,6.0,15.0,24523564,right,1.0,0.6839999999999975,Navigation,Near,Relative
61,far_right,Home,right,2.0,7.0,1.0,24523564,right,1.0,1.0150000000000148,Navigation,Far,Absolute
62,near_right,Left,left,2.0,8.0,11.0,24523564,left,1.0,1.066000000000031,Navigation,Near,Relative
63,near_right,Away,left,2.0,9.0,7.0,24523564,left,1.0,1.016999999999996,Navigation,Near,Absolute
64,near_left,Away,right,2.0,10.0,6.0,24523564,right,1.0,1.4670000000000414,Navigation,Near,Absolute
65,far_left,Left,right,2.0,11.0,8.0,24523564,right,1.0,1.3840000000000146,Navigation,Far,Relative
66,far_left,Home,left,2.0,12.0,0.0,24523564,left,1.0,0.75,Navigation,Far,Absolute
67,far_right,Left,right,2.0,13.0,9.0,24523564,right,1.0,1.7830000000000157,Navigation,Far,Relative
68,far_left,Away,right,2.0,14.0,4.0,24523564,right,1.0,0.7989999999999782,Navigation,Far,Absolute
69,far_left,Right,left,2.0,15.0,12.0,24523564,left,1.0,0.9169999999999732,Navigation,Far,Relative
70,far_right,Home,right,3.0,0.0,1.0,24523564,right,1.0,0.8330000000000268,Navigation,Far,Absolute
71,near_left,Left,left,3.0,1.0,10.0,24523564,left,1.0,0.7669999999999959,Navigation,Near,Relative
72,near_right,Home,right,3.0,2.0,3.0,24523564,right,1.0,0.983000000000004,Navigation,Near,Absolute
73,far_left,Left,right,3.0,3.0,8.0,24523564,right,1.0,1.25,Navigation,Far,Relative
74,near_left,Home,left,3.0,4.0,2.0,24523564,left,1.0,0.8499999999999659,Navigation,Near,Absolute
75,near_right,Left,left,3.0,5.0,11.0,24523564,left,1.0,0.9159999999999968,Navigation,Near,Relative
76,near_left,Right,right,3.0,6.0,14.0,24523564,right,1.0,1.5159999999999627,Navigation,Near,Relative
77,far_left,Away,right,3.0,7.0,4.0,24523564,right,1.0,1.0500000000000114,Navigation,Far,Absolute
78,far_right,Away,left,3.0,8.0,5.0,24523564,left,1.0,1.3330000000000268,Navigation,Far,Absolute
79,near_left,Away,right,3.0,9.0,6.0,24523564,right,1.0,1.0839999999999463,Navigation,Near,Absolute
80,far_right,Right,left,3.0,10.0,13.0,24523564,right,0.0,1.58299999999997,Navigation,Far,Relative
81,far_right,Left,right,3.0,11.0,9.0,24523564,right,1.0,1.7169999999999843,Navigation,Far,Relative
82,near_right,Away,left,3.0,12.0,7.0,24523564,left,1.0,1.4159999999999968,Navigation,Near,Absolute
83,far_left,Right,left,3.0,13.0,12.0,24523564,left,1.0,1.4329999999999927,Navigation,Far,Relative
